toi,tid,tfopwg_disp
1811.01,376524552,CP
1820.01,393831507,CP
1821.01,82308728,KP
1826.01,229400092,CP
1827.01,390651552,CP
1828.01,232982938,CP
1833.01,61098812,KP
1836.01,207468071,CP
1838.01,162689341,KP
1840.01,165987272,KP
1841.01,168699373,KP
1842.01,404505029,CP
1844.01,198108326,KP
1847.01,54002556,KP
185.01,100100827,KP
1853.01,73540072,CP
1859.01,229742722,CP
186.01,279741379,CP
186.02,279741379,CP
1860.01,202426247,CP
1862.01,321668398,CP
1864.01,229791084,KP
1885.01,258510872,CP
1898.01,91987762,CP
1899.01,172370679,CP
190.01,166739520,KP
1900.01,178879588,KP
1901.01,19684256,KP
1902.01,272212970,KP
1903.01,77156657,KP
1904.01,272213425,KP
1905.01,429302040,KP
1906.01,308098254,KP
1907.01,453789494,KP
1908.01,37718056,KP
1909.01,232038798,KP
191.01,183532609,KP
1910.01,437261733,KP
1911.01,44745133,KP
1912.01,50712784,KP
1913.01,53458803,KP
1914.01,53750200,KP
1915.01,98283926,KP
1916.01,98545929,KP
1917.01,339522221,KP
1919.01,102192004,KP
192.01,183537452,KP
1920.01,363851359,KP
1921.01,112099249,KP
1922.01,112604564,KP
1923.01,114299824,KP
1924.01,371443216,KP
1925.01,118956453,KP
1926.01,143143769,KP
1927.01,14344979,KP
1928.01,207077681,KP
1929.01,157266693,KP
193.01,183985250,CP
1930.01,160578764,KP
1931.01,162922904,KP
1932.01,386259537,KP
1933.01,172598832,KP
1934.01,125739286,KP
1935.01,176685457,KP
1936.01,178289267,KP
1937.01,268301217,CP
194.01,211438925,KP
195.01,230982885,KP
197.01,441462736,CP
198.01,12421862,CP
199.01,309792357,CP
200.01,410214986,CP
2000.01,371188886,CP
2000.02,371188886,CP
201.01,350618622,CP
2010.01,26547036,CP
2011.01,136916387,KP
2011.02,136916387,KP
2011.03,136916387,KP
2012.01,138294130,KP
2013.01,188589164,CP
2014.01,198588220,KP
2018.01,357501308,CP
2019.01,159781361,CP
2020.01,39903405,KP
2021.01,236312126,KP
2024.01,255930614,KP
2025.01,394050135,CP
2046.01,468574941,CP
2048.01,159873822,CP
206.01,55650590,CP
2064.01,115524421,KP
2076.01,27491137,CP
2076.02,27491137,CP
2076.03,27491137,CP
2081.01,321669174,CP
2084.01,441738827,CP
2095.01,235678745,CP
2095.02,235678745,CP
2096.01,142748283,CP
2096.02,142748283,CP
2109.01,392476080,CP
2119.01,236387002,CP
2122.01,311408969,KP
2124.01,159742538,KP
2125.01,116242971,KP
2126.01,116264089,KP
2127.01,21744120,KP
2129.01,101721385,KP
2130.01,320798691,KP
2131.01,27848472,KP
2132.01,358516596,KP
2135.01,76419763,KP
2136.01,336128819,CP
2139.01,308172249,KP
2140.01,399860444,KP
2141.01,287256467,CP
2145.01,88992642,CP
2152.01,395393265,CP
2154.01,428787891,CP
2158.01,342642208,CP
216.01,55652896,CP
216.02,55652896,CP
2175.01,405717754,KP
2176.01,123495874,KP
2177.01,123233041,KP
2178.01,164892194,KP
2179.01,237913194,CP
2180.01,298663873,CP
2182.01,268823307,KP
2184.01,176956893,CP
2193.01,401604346,CP
2194.01,271478281,CP
2196.01,372172128,CP
2197.01,389352124,KP
2198.01,100566492,KP
2199.01,369455629,KP
220.01,150098860,CP
2202.01,358107516,CP
2204.01,467971286,KP
2206.01,381856447,KP
2207.01,90850770,CP
2215.01,425561347,CP
2221.01,441420236,CP
2236.01,394722182,CP
2257.01,198485881,CP
2260.01,232568235,CP
228.01,77044471,KP
2285.01,329148988,CP
229.01,120610833,KP
231.01,204376737,KP
2319.01,349488688,CP
2319.02,349488688,KP
232.01,402026209,KP
2330.01,180991313,KP
2336.01,88902249,CP
2337.01,230001847,CP
2338.01,24358417,CP
2364.01,39414571,CP
237.01,305048087,CP
2373.01,332558858,CP
238.01,9006668,CP
2380.01,176220787,KP
2386.01,32487566,KP
239.01,9725627,KP
2403.01,293435336,KP
2406.01,212957629,CP
241.01,77031414,KP
2411.01,10837041,CP
2414.01,237320326,KP
2416.01,237922465,CP
2421.01,70524163,CP
2427.01,142937186,CP
244.01,118327550,CP
2443.01,318753380,CP
2445.01,439867639,CP
2447.01,1167538,CP
2458.01,449197831,CP
2459.01,192790476,CP
246.01,158623531,KP
2461.01,411839167,KP
2464.01,32949762,KP
2466.01,293612446,KP
247.01,160148385,KP
2497.01,97568467,CP
2498.01,263179590,CP
250.01,184240683,KP
2502.01,52689469,KP
2503.01,124778445,KP
251.01,224225541,CP
2524.01,169249234,CP
2525.01,149601126,CP
2525.02,149601126,CP
2529.01,269333648,CP
2543.01,270604417,CP
2545.01,149845414,CP
2547.01,444013020,KP
2548.01,350293646,KP
2548.02,350293646,CP
255.01,204317710,KP
256.01,92226327,KP
256.02,92226327,KP
2567.01,258920431,CP
257.01,200723869,CP
2570.01,239816546,CP
2579.01,103751498,KP
2583.01,7548817,CP
2587.01,68007716,CP
2589.01,157698565,CP
259.01,12862099,KP
2604.01,189625051,KP
261.02,63898957,CP
262.01,70513361,CP
263.01,120916706,CP
264.01,122612091,KP
2641.01,162802770,CP
2642.01,448589187,KP
2643.01,152852327,KP
265.01,159951311,KP
2669.01,348835438,CP
267.01,166836920,KP
269.01,220479565,CP
270.01,259377017,CP
270.02,259377017,CP
270.03,259377017,CP
2707.01,455036659,KP
272.01,268766053,KP
277.01,439456714,CP
2796.01,220076110,CP
2803.01,124379043,CP
2818.01,151483286,CP
282.01,29781292,CP
282.03,29781292,CP
282.04,29781292,CP
2842.01,178162579,CP
2844.01,387342052,CP
294.01,188570092,CP
295.01,327952677,KP
2977.01,361343239,CP
3023.01,454248975,CP
303.01,145750719,KP
306.01,114749636,KP
3082.01,428699140,CP
3235.01,243641947,CP
329.01,169765334,CP
332.01,139285832,CP
3331.01,194795551,CP
3362.01,464300749,CP
3364.01,280655495,CP
338.01,116156517,KP
3422.01,286099128,KP
3497.01,21113347,KP
351.01,228381868,KP
3534.01,27916356,KP
3540.01,17865622,CP
3563.01,169461816,KP
3568.01,160390955,CP
3577.01,396133015,CP
3595.01,440113053,KP
3597.01,267650535,KP
3612.01,233948455,KP
3629.01,455784423,CP
3630.01,189380158,KP
3636.01,61205803,KP
3666.01,346626688,KP
3681.01,285272237,KP
3688.01,245509452,CP
3693.01,240823272,CP
3705.01,259506033,KP
3714.01,155867025,CP
3755.01,281196902,CP
3757.01,445751830,CP
3785.01,458419328,CP
3807.01,289661991,CP
3819.01,95660472,CP
3846.01,149918151,KP
388.01,422655579,KP
3884.01,86263325,CP
391.01,382391899,KP
3912.01,156648452,CP
396.01,178155732,CP
396.02,178155732,CP
396.03,178155732,CP
3976.01,154293917,CP
398.01,1129033,KP
3984.01,20182780,CP
400.01,35857242,KP
4010.01,352682207,CP
4010.02,352682207,CP
4010.03,352682207,CP
402.01,120896927,CP
402.02,120896927,CP
403.01,257567854,KP
404.01,166833457,KP
4087.01,310002617,CP
411.01,100990000,CP
411.02,100990000,CP
4127.01,141488193,CP
413.01,170634116,KP
4137.01,417646390,CP
4138.01,257060897,CP
4145.01,279947414,CP
415.01,152476657,KP
418.01,178284730,KP
4184.01,394357918,CP
4201.01,95057860,CP
421.01,94986319,CP
421.02,94986319,CP
423.01,43647325,KP
4270.01,151920165,CP
4304.01,366443426,KP
4304.03,366443426,KP
4306.01,44898913,CP
4308.01,144193715,CP
431.01,31374837,CP
431.02,31374837,CP
4316.01,7020254,KP
4329.01,256722647,CP
4336.01,166184428,CP
434.01,78055054,KP
4342.01,354944123,CP
4342.02,354944123,CP
437.01,32499655,KP
4377.01,394918211,CP
439.01,13021029,KP
4399.01,464646604,CP
4406.01,206541859,CP
4411.01,366484980,KP
442.01,70899085,CP
4426.01,271354351,KP
4428.01,271042217,KP
443.01,117979897,KP
4431.01,121660904,KP
4434.01,63452790,KP
4435.01,122596693,KP
4438.01,22233480,CP
444.01,179034327,CP
4440.01,164786087,KP
4445.01,158388163,KP
4446.01,137899948,KP
4448.01,138359318,KP
4454.01,48217457,KP
4455.01,138644215,KP
4456.01,27774415,KP
4457.01,299220166,KP
4462.01,76420654,CP
4463.01,8599009,CP
4466.01,268604331,KP
4467.01,48506505,KP
4469.01,75262942,KP
4470.01,256364928,KP
4471.01,27318774,KP
4472.01,63211674,KP
4473.01,122441491,KP
4474.01,264508014,KP
4475.01,159098316,KP
4476.01,399794420,KP
4479.01,126606859,CP
448.01,1528696,CP
4480.01,377873569,KP
4482.01,27990610,KP
4483.01,209752908,KP
4485.01,137903329,KP
4486.01,99224131,KP
4488.01,269269546,KP
4489.01,267572272,KP
449.01,139528693,KP
4490.01,268924036,KP
451.01,257605131,CP
451.02,257605131,CP
451.03,257605131,CP
4512.01,243014114,KP
4514.01,436875934,KP
4515.01,456862677,CP
4516.01,85593751,KP
4517.01,301289516,KP
4518.01,398572544,KP
452.01,139733308,KP
4520.01,404243877,KP
4521.01,439842788,KP
4523.01,427332229,KP
4524.01,333657795,CP
4525.01,36592530,KP
4526.01,39926974,KP
453.01,452808876,KP
4530.01,35022727,KP
4531.01,262662119,KP
4532.01,376939759,KP
4533.01,418761354,KP
4534.01,437704321,KP
4535.01,26017005,KP
4536.01,380907135,KP
4538.01,262715204,KP
4538.02,262715204,KP
4539.01,102264230,KP
4544.01,435339847,KP
4545.01,610976842,KP
4547.01,206284139,KP
455.01,98796344,CP
4551.01,204650483,CP
4562.01,349576261,CP
4570.01,137402055,KP
4571.01,48451130,KP
4577.01,138364831,KP
4579.01,27769688,KP
4581.01,273231214,KP
4581.02,273231214,KP
4582.01,219854519,CP
4584.01,120255950,KP
4587.01,137683938,KP
4589.01,164458714,KP
4592.01,122785299,KP
4593.01,399954349,KP
4593.02,399954349,KP
4595.01,159725995,KP
4599.01,307809773,CP
4599.02,307809773,CP
4600.01,232608943,CP
4600.02,232608943,CP
4603.01,437856897,CP
4604.01,27039476,KP
4606.01,68577662,KP
461.01,4646810,CP
4612.01,97735908,KP
4618.01,284326455,KP
4621.01,293457754,KP
4623.01,56399553,KP
4624.01,84339983,KP
4628.01,404421005,KP
4648.01,257774438,KP
465.01,270380593,KP
466.01,4616072,KP
468.01,33521996,KP
469.01,33692729,CP
470.01,37770169,CP
471.01,47911178,KP
473.01,52640302,KP
4737.01,142532090,CP
474.01,59843967,KP
4759.01,49705089,CP
477.01,170102285,KP
479.01,306362738,KP
4791.01,100389539,CP
480.01,317548889,CP
481.01,339672028,CP
483.01,393414358,KP
4860.01,335590096,CP
4862.01,322807371,CP
488.01,452866790,CP
489.01,455096220,KP
490.01,455135327,KP
491.01,468987719,KP
4916.01,454069765,KP
492.01,17746821,KP
495.01,22529346,KP
4987.01,293607057,CP
4994.01,277128619,CP
500.01,134200185,CP
5005.01,282485660,CP
501.01,134537478,KP
503.01,186812530,CP
505.01,268644785,KP
5065.01,243244680,KP
5067.01,117275513,KP
5068.01,366631954,KP
5071.01,307733361,KP
5072.01,7059054,KP
5074.01,6893917,KP
5076.01,303432813,CP
508.01,425206121,KP
5080.01,17409453,KP
5081.01,203214138,KP
5083.01,5882269,KP
5086.01,178217113,KP
5087.01,18310799,KP
5089.01,330687113,KP
509.01,453211454,CP
509.02,453211454,CP
5090.01,184892124,KP
5093.01,63189173,KP
5094.01,19028197,KP
5095.01,434226736,KP
5096.01,26826078,KP
5097.01,203214081,KP
5098.01,14770122,KP
5101.01,366410512,KP
511.01,440777904,KP
5111.01,203289099,KP
512.01,119292328,CP
5121.01,366568760,KP
5123.01,332022997,KP
5123.02,332022997,KP
5126.01,27064468,CP
5126.02,27064468,CP
5136.01,175236511,KP
5138.01,38087018,KP
514.01,366576758,KP
5141.01,350020859,KP
5142.01,393495970,KP
5144.01,380619414,KP
5145.01,281885301,KP
5146.01,173103335,KP
515.01,366622912,CP
5152.01,257527578,CP
5153.01,124029677,CP
5155.01,388811663,KP
5162.01,60286662,KP
5163.01,115010361,KP
5164.01,6892385,KP
5168.01,363548415,KP
5170.01,330690135,KP
5173.01,98669309,KP
5174.01,49428710,CP
5178.01,149969625,KP
519.01,218795833,CP
5205.01,419411415,CP
5238.01,219016883,CP
5240.01,40055053,CP
5293.01,250111245,CP
530.01,387690507,CP
5319.01,246965431,CP
532.01,144700903,CP
534.01,281909674,KP
535.01,280210963,KP
536.01,234825296,KP
537.01,234112540,KP
5373.01,9155187,KP
5374.01,20096620,KP
5384.01,165297570,KP
5398.01,8260536,CP
5398.02,8260536,CP
540.01,200322593,CP
544.01,50618703,CP
545.01,37168957,KP
546.01,36440357,KP
5467.01,83275782,CP
547.01,36352297,KP
548.01,42821097,KP
551.01,192826603,KP
552.01,44737596,CP
5520.01,374180079,KP
5520.02,374180079,KP
5523.02,443616612,KP
5524.01,277833995,KP
5528.01,458686847,KP
5529.01,366411016,KP
5534.01,176868951,KP
5535.01,411697517,KP
5542.01,466206508,CP
555.01,170849515,CP
5555.01,388804061,KP
5556.01,55315929,KP
5557.01,323687123,CP
5558.01,14570099,KP
5559.01,456945304,KP
5562.01,17307715,KP
558.01,207110080,CP
559.01,209459275,CP
560.01,101011575,CP
560.02,101011575,CP
561.01,377064495,CP
561.02,377064495,CP
561.03,377064495,CP
561.04,377064495,CP
562.01,413248763,CP
5631.01,347430350,KP
5632.01,420779000,KP
564.01,1003831,CP
567.01,13349647,KP
5672.01,461239485,KP
5673.01,175772482,KP
5674.01,368805700,KP
5675.01,181949561,KP
5676.01,311133118,KP
5678.01,209464063,CP
5680.01,368739874,CP
5685.01,460396820,KP
5688.01,193634953,CP
569.01,123482865,CP
5704.01,148673433,CP
571.01,270468559,KP
5713.01,219041246,CP
574.01,315002523,KP
576.01,408310006,CP
578.01,423275733,KP
5793.01,398895470,KP
5794.01,273874849,KP
5796.01,391958006,KP
5797.01,374530847,KP
5798.01,305243225,KP
5801.01,243921117,KP
5802.01,399402994,KP
5803.01,466382581,CP
5812.01,388909695,KP
5815.01,375942197,KP
5818.01,283419843,KP
5820.01,459730973,KP
5821.01,354619337,KP
5822.01,466390120,KP
5823.01,248853232,KP
5824.01,272366748,KP
5882.01,232941965,CP
5959.01,199671901,KP
5960.01,188876052,KP
5963.01,436478932,KP
5969.01,91051152,KP
5970.01,431701493,KP
5972.01,420814525,KP
5979.01,137151335,KP
5980.01,164652245,KP
5982.01,299087490,KP
5984.01,120692092,KP
5986.01,158657354,KP
5988.01,377780790,KP
5992.01,159054620,KP
5993.01,27534138,KP
5994.01,63283780,KP
5995.01,352011875,KP
5999.01,120317234,KP
6001.01,139104940,KP
6003.01,121731834,KP
6004.01,48353358,KP
6005.01,123357864,KP
6006.01,123309556,KP
6013.01,53728859,KP
6014.01,57984377,KP
6015.01,288246496,KP
6017.01,291751373,KP
6021.01,291685334,KP
6028.01,250707118,KP
603.01,262746281,CP
6030.01,245392284,KP
6031.01,292152376,KP
6038.01,194736418,CP
6043.01,453064665,KP
6049.01,353459965,KP
6052.01,9443323,KP
6054.01,392681545,CP
6054.02,392681545,CP
6072.01,147797743,KP
6073.01,271424111,KP
6081.01,271431851,KP
6083.01,299089652,KP
6087.01,48448369,KP
6088.01,122375047,KP
6089.01,350814622,KP
6090.01,268159158,KP
6101.01,19342878,CP
615.01,190496853,CP
6170.01,51637609,CP
620.01,296739893,CP
622.01,83092282,CP
624.01,399870368,CP
625.01,379929661,CP
6251.01,52005579,CP
626.01,65412605,CP
6269.01,168281028,KP
6273.01,142211778,KP
6275.01,49043968,CP
6278.01,157230659,KP
628.01,281408474,CP
629.01,293853437,CP
6383.01,328513434,CP
640.01,147977348,CP
6508.01,142277868,CP
652.01,22221375,CP
6546.01,9385460,KP
6547.01,915110182,KP
655.01,35516889,KP
6551.01,166527623,KP
656.01,36734222,KP
657.01,48103627,CP
660.01,53189332,KP
661.01,53735810,KP
664.01,55092869,KP
6651.01,174328045,CP
667.01,101955023,KP
6681.01,425817867,KP
6686.01,269217040,KP
6719.01,92449173,KP
672.01,151825527,CP
6720.01,281541545,KP
6726.01,121490076,KP
674.01,158588995,CP
675.01,169226822,KP
677.01,280206394,CP
682.01,429304876,CP
6821.01,197643976,KP
683.01,437248515,KP
6833.01,4610830,KP
6834.01,49735922,KP
6835.01,301235044,KP
6836.01,422618449,KP
6838.01,278892590,KP
685.01,281731203,KP
6872.01,150096001,KP
6877.01,365007485,KP
6883.01,393818343,CP
696.01,77156829,CP
696.02,77156829,CP
696.03,77156829,CP
6962.01,435339558,KP
6967.01,27635334,KP
6970.01,271749758,KP
6977.01,436575927,KP
6979.01,26078330,KP
6984.01,83181153,KP
700.01,150428135,CP
700.02,150428135,CP
700.03,150428135,CP
700.04,150428135,CP
704.01,260004324,CP
7041.01,201175570,CP
7055.01,167227214,KP
7056.01,110178537,KP
7057.01,325670253,KP
7058.01,317520667,KP
7059.01,104866616,KP
7061.01,244089109,KP
7066.01,405010127,KP
7067.01,139158696,KP
7068.01,137685450,KP
712.01,150151262,CP
712.02,150151262,CP
712.04,150151262,CP
715.01,271971130,CP
7165.01,239277658,KP
7168.01,427685831,KP
730.01,11561667,CP
731.01,34068865,CP
732.01,36724087,CP
732.02,36724087,CP
733.01,106402532,CP
736.01,181804752,CP
736.02,181804752,CP
737.01,219189765,CP
744.01,437242640,KP
747.01,15445551,KP
748.01,104024556,KP
750.01,14614418,KP
751.01,14661418,KP
752.01,61538902,KP
755.01,73228647,CP
755.02,73228647,KP
763.01,178819686,CP
763.02,178819686,CP
766.01,219698950,KP
767.01,229047362,KP
769.01,248075138,KP
770.01,248111245,KP
773.01,286865921,KP
774.01,294301883,KP
776.01,306996324,CP
776.02,306996324,CP
778.01,335630746,CP
780.01,398943781,KP
781.01,413376180,KP
784.01,460984940,CP
813.01,55525572,CP
818.01,46096489,KP
819.01,73717937,KP
820.01,111991770,KP
822.01,127530399,KP
822.02,127530399,CP
824.01,193641523,CP
825.01,220029715,KP
826.01,243200602,KP
828.01,271168962,KP
833.01,362249359,CP
834.01,404340025,KP
836.01,440887364,CP
836.02,440887364,CP
837.01,460205581,CP
839.01,466840711,KP
840.01,287563610,KP
843.01,437333618,KP
849.01,33595516,CP
857.01,404467699,KP
858.01,198008005,CP
892.01,66561343,CP
904.01,261257684,CP
904.02,261257684,CP
905.01,261867566,CP
908.01,350153977,CP
910.01,369327947,CP
913.01,407126408,CP
942.01,146520535,CP
954.01,44792534,CP
966.01,178367144,KP
969.01,280437559,CP
